train_size,train_rmse_mean(kg),train_rmse_std(kg),val_rmse_mean(kg),val_rmse_std(kg)
274,13.409751668039844,5.343624054000289,13.532699602372873,11.055996736093855
548,12.086681109991282,7.129451406047872,12.579773633695902,11.531801410095145
822,11.784600158003856,4.498782445792774,12.591992414470075,11.27654385054408
1096,12.702835019637163,7.197151982863437,12.765417746967033,11.148534684102252
1370,11.975175802188252,7.105478828339346,12.387290061734264,11.450190138849326
1644,11.033738996025038,6.516811023535404,11.743936849312512,11.890499817649484
1918,10.229236280666125,6.07443813616581,11.396847999714002,12.148458689127406
2192,9.681909316936263,5.821492948084698,11.390700249506018,12.289163895967155
2466,9.153645923448991,5.522731029515579,11.314689064305362,12.305881608678046
2741,8.668102887643423,5.220839170518988,11.246779288396661,12.310067430983887
