n_estimators,oob_error(1-R²),train_error(1-R²),error_difference
10,0.9297118038837905,0.598804919025842,0.3309068848579485
20,0.8811497099522769,0.5705547526886549,0.3105949572636221
30,0.8676811400176591,0.5704896067280766,0.2971915332895825
40,0.8584036885499073,0.5587518211565582,0.29965186739334915
50,0.8529975717661858,0.5539366368853562,0.29906093488082963
60,0.850029973138737,0.5552939866474202,0.2947359864913167
70,0.8499114158205106,0.5518374608394537,0.2980739549810568
80,0.8498203962849606,0.5536650403053022,0.2961553559796585
90,0.8513988656798944,0.5489413679207157,0.30245749775917874
100,0.8543308104216968,0.5442736129103579,0.31005719751133887
110,0.8522920721713848,0.5457379697640244,0.30655410240736036
120,0.8538518881904529,0.5479997105368084,0.3058521776536445
130,0.8517210691406182,0.5464645335955657,0.3052565355450525
140,0.8512198067588422,0.5430169224934253,0.308202884265417
150,0.8486319071570001,0.5439628762401547,0.3046690309168454
160,0.8478709018160296,0.5447718459861183,0.30309905582991137
170,0.8484193240288964,0.5442117016183563,0.3042076224105401
180,0.8474971311956905,0.5457463710216801,0.30175076017401037
190,0.8484222765301983,0.546967081138414,0.30145519539178434
200,0.8495127981552151,0.5446938206295094,0.30481897752570564
