方形椅,圓形椅,品名,平台,材質,尺寸(寬×深×高cm),椅背高度(cm),椅背體積(cm),椅墊面積(cm),椅墊厚度(cm),椅腳高度(cm),椅腳體積(cm),重量(kg),商品連結,chair_id,無椅背,異常椅背,大椅腳體積,大椅墊
0,1,未知產品,Wayfair,松木,58.42×60.96×83.82,140.5,2774.0,2581.0,3.0,45.2,9231.0,14.06,https://www.wayfair.com/furniture/pdp/birch-lane-sharlene-swivel-side-chair-kkah1321.html?piid=89471359,1,0,0,0,1
0,1,未知產品,Wayfair,橡木,59.0×64.01×84.0,0.0,0.0,2581.0,3.0,51.4,5062.0,12.19,https://www.wayfair.com/furniture/pdp/latitude-run-vivora-upholstered-vegan-leather-dining-chair-with-casters-set-of-2-w112360404.html?piid=1187231050,2,1,0,1,1
0,1,未知產品,Wayfair,橡木,59.0×64.01×95.0,135.2,2470.0,2548.0,3.0,33.7,3830.0,6.35,https://www.wayfair.com/furniture/pdp/birch-lane-niara-leather-side-chair-bl25808.html?piid=104827903,3,0,0,0,0
0,1,"Modern Dining Chairs, Brown Leather Strap Seat and Back, Black Rubberwood Frame and Legs, Minimal Assembly Required, Stylish Accent Chairs for Dining Room or Kitchen, Brown, Set of 2",Wayfair,橡膠木,53.34×58.42×80.77,45.0,4500.0,1219.0,3.0,29.2,2487.0,12.0,https://www.wayfair.com/furniture/pdp/xdeco-modern-dining-chairs-brown-leather-strap-seat-and-back-black-rubberwood-frame-and-legs-minimal-assembly-required-stylish-accent-chairs-for-dining-room-or-kitchen-brown-set-of-2-w112934089.html?auctionId=aa3676dc-4513-409a-bfde-9fbd1fcae66d&adTypeId=1,4,0,1,0,0
0,1,Gunnur Mid-Century Solid Wood Dining Chair,Wayfair,橡膠木,55.88×45.47×74.93,131.9,2295.0,2229.0,3.0,30.2,2749.0,5.99,https://www.wayfair.com/furniture/pdp/corrigan-studio-gunnur-mid-century-solid-wood-dining-chair-w004727522.html?piid=322007707&auctionId=aa3676dc-4513-409a-bfde-9fbd1fcae66d&adTypeId=1,5,0,0,0,0
0,1,Chesley 17.13'' H Solid Wood Side Chair,Wayfair,橡膠木,45.97×45.97×88.01,115.6,1547.0,2581.0,3.0,30.7,2896.0,11.0,https://www.wayfair.com/furniture/pdp/chesley-solid-wood-side-chair-w011339348.html?piid=1853437640,6,0,0,0,0
0,1,Aveon Tufted Leather Side Chair with Cane Rattan Back,Wayfair,橡木,48.01×53.09×83.57,140.4,2766.0,5061.0,3.0,38.4,5655.0,6.75,https://www.wayfair.com/furniture/pdp/corrigan-studio-aveon-tufted-leather-side-chair-with-cane-rattan-back-w010718828.html?piid=1838494370,7,0,0,0,0
0,1,"Upholstered Barrel Dining Chair With Hollow Back, Modern Solid Wood Dining Chair, Comfy Side Chair For Dining Room/Living Room",Wayfair,橡膠木,62.23×53.98×67.95,132.2,2313.0,2998.0,3.0,32.1,3314.0,9.78,https://www.wayfair.com/furniture/pdp/orren-ellis-upholstered-barrel-dining-chair-with-hollow-back-modern-solid-wood-dining-chair-comfy-side-chair-for-dining-roomliving-room-w112213206.html?piid=2016642510%2C2026682419&auctionId=aa3676dc-4513-409a-bfde-9fbd1fcae66d&adTypeId=1,8,0,0,0,0
0,1,Percival 18.25'' H Solid Wood Side Chair,Wayfair,橡膠木,46.05×50.8×99.7,145.2,3062.0,2669.0,3.0,30.7,2886.0,20.5,https://www.wayfair.com/furniture/pdp/red-barrel-studio-percival-solid-wood-slat-back-side-chair-w100381548.html?piid=1266504550&auctionId=aa3676dc-4513-409a-bfde-9fbd1fcae66d&adTypeId=1,9,0,0,0,0
0,1,"Upholstered Faux Leather Seat Rattan Back Dining Chair, Solid Wood Frame Side Chair For Living Room",Wayfair,橡膠木,46.99×49.53×80.01,141.5,2831.0,2810.0,3.0,30.2,2741.0,4.54,https://www.wayfair.com/furniture/pdp/bay-isle-home-upholstered-faux-leather-seat-rattan-back-dining-chair-solid-wood-frame-side-chair-for-living-room-w112264390.html?piid=530162804%2C530162807&auctionId=a9f1bfe1-f5d3-4bad-bb97-b16129470040&adTypeId=1,10,0,0,0,0
0,1,19'' H Acacia Side Chair,Wayfair,橡木,45.72×43.18×91.44,110.3,1341.0,1250.0,3.0,35.3,4408.0,8.16,https://www.wayfair.com/furniture/pdp/kelly-clarkson-home-tristan-solid-wood-dining-chair-w006113331.html?auctionId=a9f1bfe1-f5d3-4bad-bb97-b16129470040&adTypeId=1,11,0,0,0,0
0,1,Atticus Cane Dining Chair,Wayfair,橡膠木,45.97×58.93×85.09,115.1,1526.0,2940.0,3.0,31.4,3091.0,12.02,https://www.wayfair.com/furniture/pdp/allmodern-atticus-cane-dining-chair-w003529035.html?piid=1703791034&auctionId=a9f1bfe1-f5d3-4bad-bb97-b16129470040&adTypeId=1,12,0,0,0,0
0,1,Hella Solid Elm Wood Cross Back Side Chair,Wayfair,橡膠木,50.16×54.91×88.9,108.1,1262.0,2226.0,3.0,28.4,2282.0,6.12,https://www.wayfair.com/furniture/pdp/red-barrel-studio-hella-solid-elm-wood-cross-back-side-chair-w003598025.html?piid=857412334&auctionId=a9f1bfe1-f5d3-4bad-bb97-b16129470040&adTypeId=1,13,0,0,0,0
0,1,"Bronxton 17"" Wide Wooden Dining Chairs With Cross-Back Design(Set Of 6)",Wayfair,橡膠木,43.18×152.4×762,135.4,2485.0,1722.0,3.0,32.5,3418.0,10.0,https://www.wayfair.com/furniture/pdp/gracie-oaks-bronxton-17-wide-wooden-dining-chairs-with-cross-back-designset-of-6-duhm4018.html?piid=99306136,14,0,0,0,0
0,1,Alayaa Armless Dining Chair,Wayfair,實木,45×50×85,159.1,4024.0,1889.0,3.0,33.7,3815.0,7.0,https://www.wayfair.com/furniture/pdp/birch-lane-alayaa-armless-dining-chair-goms1640.html?piid=113058135,15,0,0,0,0
0,1,Standridge 17.75'' H Side Chair,Wayfair,橡木,59.0×72.01×84.0,145.2,3064.0,2651.0,3.0,33.0,3600.0,13.0,https://www.wayfair.com/furniture/pdp/august-grove-standridge-solid-wood-cross-back-side-chair-w006544034.html?piid=1956092574,16,0,0,0,0
0,1,Nola Upholstered Dining Side Chairs with Cutout Back Design,Wayfair,橡膠木,48.9×57.15×97.79,137.9,2624.0,3028.0,3.0,35.8,4577.0,10.43,https://www.wayfair.com/furniture/pdp/wade-logan-nola-upholstered-dining-side-chairs-with-cutout-back-design-w005059815.html?piid=1963742543,17,0,0,0,0
0,1,"Actrice Mid-Century Fabric Upholstered Arm Chair, Dining chair",Wayfair,實木,42×49×90,132.5,2324.0,1900.0,3.0,28.9,2420.0,6.5,https://www.wayfair.com/furniture/pdp/corrigan-studio-actrice-mid-century-fabric-upholstered-arm-chair-dining-chair-w006719940.html?piid=172219171,18,0,0,0,0
0,1,Seita Tufted Leather Upholstered Wing Back Parsons Chair,Wayfair,實木,,140.2,2755.0,2063.0,3.0,27.0,5062.0,8.0,https://www.wayfair.com/furniture/pdp/red-barrel-studio-seita-tufted-leather-upholstered-wing-back-parsons-chair-subx1651.html?piid=112741152%2C84133237,19,0,0,0,0
0,1,Hitz Solid Wood Cross Back Side Chair,Wayfair,實木,45×50×95,138.7,2671.0,2064.0,3.0,38.1,5513.0,7.5,https://www.wayfair.com/furniture/pdp/charlton-home-hitz-solid-wood-cross-back-side-chair-w005059715.html?piid=2082351666,20,0,0,0,0
0,0,Lancaster 20.5'' H Upholstered Parsons Chair,Wayfair,實木,52×61×52,30.0,4680.0,1600.0,5.0,40.0,3200.0,10.0,https://www.wayfair.com/furniture/pdp/three-posts-lancaster-upholstered-side-chair-w005405396.html?piid=205235106,21,0,0,0,0
0,0,Sirine Linen Modern Side Chair with Rattan Back,Wayfair,橡膠木,50.8×63.5×93.98,52.8,4500.0,2581.0,52.07,51.6,5062.0,19.96,https://www.wayfair.com/furniture/pdp/bay-isle-home-sirine-linen-modern-side-chair-with-rattan-back-w100773431.html?piid=1717631063,22,0,1,1,0
1,0,"Swick 18"" Wide Mission Style Wooden Dining Chair with Upholstered Seat",Wayfair,橡膠木,48.26×66.67×96.52,53.3,4500.0,3651.0,2.0,52.1,7181.0,6.99,https://www.wayfair.com/furniture/pdp/swick-18-wide-mission-style-wooden-dining-chair-with-upholstered-seat-w008243119.html?piid=1070940353,23,0,1,0,0
0,0,Bilon Solid Back Parsons Chair,Wayfair,橡膠木,48.26×66.67×96.52,53.3,4500.0,3533.0,7.47,52.1,4836.0,6.99,https://www.wayfair.com/furniture/pdp/wade-logan-bilon-solid-back-parsons-chair-w100698980.html?piid=1223503177,24,0,1,0,0
0,0,Arquit Series Stackable Wood Cross Back Bistro Dining Chair with Cushion,Wayfair,橡木,48.01×57.91×82.04,38.1,4797.0,2581.0,2.54,48.0,5565.0,14.7,https://www.wayfair.com/furniture/pdp/rosalind-wheeler-arquit-series-stackable-wood-cross-back-bistro-dining-chair-with-cushion-w004249431.html?piid=1004673627,25,0,0,0,0
